0_n,0_l,0_p,1_n,1_l,1_p,2_n,2_l,2_p,3_n,3_l,3_p,4_n,4_l,4_p,5_n,5_l,5_p,6_n,6_l,6_p,7_n,7_l,7_p,8_n,8_l,8_p,9_n,9_l,9_p,10_n,10_l,10_p,11_n,11_l,11_p,12_n,12_l,12_p,13_n,13_l,13_p,14_n,14_l,14_p,15_n,15_l,15_p,16_n,16_l,16_p
STEAP4,7.872015,0.0,IL7R,8.053701,0.0,MUSTN1,7.92745,0.0,CCL5,8.043636,0.0,DCN,8.823194,0.0,ADGRL4,10.1713085,0.0,KLRF1,10.203826,2.1039957476884736e-229,APCDD1,6.645045,1.8410607938844272e-107,MARCH1,7.964635,1.601646342262835e-113,MECOM,8.790192,2.265529568238967e-149,PDE3A,7.001225,2.7791195727733566e-135,NR2F2-AS1,4.9994216,1.3234292409643918e-46,AC013652.1,8.508661,8.747061292432084e-63,CDH19,12.912471,1.2688992214626587e-76,MMRN1,11.291513,5.5849541021868114e-52,TNFRSF18,8.421775,1.471612811855455e-23,KIT,11.353291,2.213992539475581e-28
TAGLN,6.247363,0.0,BCL11B,6.978248,0.0,TPM2,6.8280683,0.0,NKG7,8.197542,0.0,LAMA2,9.290067,0.0,VWF,9.533513,5.215384535554495e-305,PRF1,8.558046,1.8980480369014899e-211,RERG,6.142693,3.440016418202227e-106,SYK,7.7398763,3.367326107426076e-106,MCTP1,7.8668537,1.9091525079715297e-148,SLIT3,6.1071644,1.3216304657092016e-133,ARHGAP10,4.0228696,1.2064921087160861e-43,SKAP1,6.2812214,3.4168611274274115e-57,NRXN1,12.567784,8.151365416535467e-76,PKHD1L1,14.171141,7.695411384217228e-52,CAPG,7.324503,1.1386885114739976e-20,FMN1,10.435761,2.213992539475581e-28
PRRX1,5.7581267,1.9038312395859747e-275,THEMIS,7.7618575,0.0,MYL9,5.919927,6.146828465000909e-283,GZMA,7.782512,1.0566879162075213e-290,BICC1,9.444679,0.0,PALMD,9.156527,7.702136692568482e-302,GNLY,8.83594,1.348846274575766e-209,COL3A1,5.492346,3.787614749343425e-97,LYN,6.084763,4.56372961443444e-90,PALMD,8.323774,2.2275579591226246e-142,FRY,4.7468433,2.4616704027482305e-133,RBMS3,3.831767,8.358666756281697e-42,BCL11B,6.448493,1.650306810523169e-56,NRXN3,10.25504,1.2335377951838857e-74,LINC02147,11.792518,3.912176564518657e-45,CLNK,9.591095,4.494908863782365e-18,TYR,15.008289,2.213992539475581e-28
RERG,6.3175673,3.5785415664078215e-269,PTPRC,6.8346524,0.0,TAGLN,6.379871,6.303876979502931e-274,SAMD3,7.021836,3.8640926761085597e-261,PDGFRA,11.186694,0.0,PECAM1,7.9885707,1.3962194504768142e-298,TXK,8.758152,3.18399960174344e-208,PRRX1,5.2692237,5.832571894021676e-91,CD83,7.448847,3.663613851925199e-86,PTPRB,8.423445,1.502290596462125e-141,NR2F2-AS1,5.965915,4.460575161636988e-128,ARHGAP42,4.8724847,9.509663370711465e-42,PTPRC,6.0351925,6.581972155756406e-54,SCN7A,11.831248,2.3878868239116277e-74,SMAD1,7.8695335,4.153893137487122e-39,TYROBP,7.1224847,1.1109655942412897e-17,DCT,13.730671,2.213992539475581e-28
NR2F2,5.6512523,4.685830619060596e-268,SKAP1,6.9684405,1.4267390130629389e-304,RERGL,8.884571,7.621740284780837e-273,KLRK1,7.6569643,4.45511861611763e-255,CXCL14,9.61497,4.5279338966529754e-305,CYYR1,9.400738,3.7825222698055215e-285,KLRD1,8.7577,5.484877729073562e-207,LGI4,5.8398843,2.6059087105051516e-88,CYBB,10.825626,6.708031940084312e-82,NEBL,10.575606,1.117993450553807e-136,PRKG1,5.5021553,1.4242595248409e-124,ADAMTS9-AS2,4.217764,3.497224500304451e-39,TTC39C,5.664497,2.755778141977206e-51,XKR4,12.958617,2.207859606452389e-71,PROX1,12.020221,4.153893137487122e-39,XCL1,7.92984,1.4176835218366205e-17,LSAMP,10.05066,2.213992539475581e-28
CD36,6.5090294,1.476879250890387e-267,FYB1,6.3864408,1.6366768848400277e-284,MYH11,6.6906343,2.5870826425919894e-269,HCST,6.618312,7.61159456451862e-254,FBLN1,9.270077,2.3604790086489964e-303,MCTP1,8.088005,3.7640820506512005e-279,NKG7,8.119862,2.0855641659521895e-195,PSD3,5.5287957,8.6373991014419e-86,HLA-DRA,5.8185034,5.276531996844642e-81,PECAM1,7.333157,1.7975859303004514e-136,RCAN2,5.8324957,2.0532229008335923e-124,PARD3,4.594034,9.806961017280336e-39,RASGRP1,6.1535616,5.1262875891377653e-51,DOCK5,7.9042296,2.261802645940003e-71,CCL21,11.190281,7.16566800519019e-38,VAMP8,6.0432987,4.365542610850893e-17,TYRP1,14.711526,5.481922588805442e-25
ACTA2,5.9284477,1.5991130709398998e-265,IKZF1,6.4225903,3.9188904248663357e-284,GUCY1A1,6.7911043,1.0286872626209623e-265,PTPRC,6.6050305,2.2786364557730493e-244,CFD,7.447947,1.117166918705177e-280,CD34,8.202114,2.436854313208072e-272,CD247,7.219372,6.147402829530443e-194,TEX41,5.580911,1.2761209517690847e-85,RBM47,8.520595,3.505805102693504e-76,EMCN,7.5935335,6.073215881792519e-135,CACNA1C,6.4917946,2.1571115681790734e-121,DLC1,4.1245275,5.578757369132738e-38,FYB1,5.6582317,5.760300227058972e-48,CADM2,10.933481,3.3057469262698964e-71,PPFIBP1,6.6691246,7.16566800519019e-38,KLRB1,6.846964,4.456339009093719e-17,TFAP2B,13.011792,7.305701601054935e-25
FHL2,6.730368,8.280456161189841e-246,CAMK4,7.490408,1.4980627511455178e-283,ADIRF,4.7299643,2.4309362273774057e-262,CST7,7.2080407,6.532664596357619e-243,APOD,7.823309,5.3333583309473014e-275,MECOM,9.0938835,4.913529111266787e-271,GZMB,9.084128,8.974482653351612e-193,COL6A1,5.1037164,3.6149286414062614e-85,CTSS,5.1585913,1.004640481511141e-73,CRYBG3,6.4644675,2.497150468654667e-134,SOX5,5.6881185,3.843276040317096e-121,PTPRG,4.0023785,1.152148660336239e-37,CD3G,6.338309,1.7848885728790135e-47,STARD13,6.9481044,4.4413869633613054e-69,GPM6A,10.529287,2.0790953265917237e-37,FCER1G,6.9311504,3.798470319208317e-16,CAPN3,8.965282,7.3678563860431e-24
MYL9,5.3336234,1.7175750628865346e-244,CD96,6.480771,2.1392172910863158e-266,C11orf96,6.5302486,1.301494128248556e-260,CTSW,7.172139,6.399805212072561e-240,CCDC80,6.9919276,6.998496141713299e-267,PTPRB,8.867376,1.8251810682999043e-267,PLAC8,7.8107147,4.483746329998337e-190,AHR,3.8781369,4.7219563569015525e-85,KYNU,8.641847,3.1687073877703663e-73,BTNL9,8.817821,3.8663220089295116e-133,ZFHX3,5.5113444,4.946048005781488e-116,ARHGAP6,4.4610734,6.551549453660473e-37,TRAC,6.1140323,2.429016029436397e-47,SORCS1,11.982302,7.100101723925805e-69,PTPRE,6.660303,2.5526735701787605e-37,LTB,6.1760554,2.0966370883566992e-15,NRXN3,9.182209,8.3337426474013e-24
ABCC9,6.1010227,3.472550259783485e-244,ARHGAP15,5.2780447,1.0380611811518509e-259,ACTA2,6.2113986,6.908474305242197e-257,CORO1A,6.40989,5.193585531630086e-231,ABI3BP,8.051198,3.2691377697471685e-255,EMCN,7.946111,2.195977083269756e-267,FCGR3A,9.395725,2.03429713857681e-189,COL1A2,5.193801,3.0239334783938565e-84,SPI1,9.867076,4.3584406878102536e-70,PODXL,8.536915,4.10018958939099e-133,CARMN,6.432075,1.2191627620121667e-110,UBE2E2,4.056362,5.699280707155274e-36,IL32,5.46505,1.0854456653334e-46,NCAM2,10.688176,1.3362157803043685e-65,RASGRP3,8.332777,3.243389545117699e-37,IL7R,6.495801,2.8174857628595296e-15,PAX3,10.057468,1.461964076800258e-23
